url,review_header,reviewer_name,review_content,review_star_rating,review_helpful_votes,verified_purchaser
https://www.target.com/p/apple-iphone-14/-/A-87577447,Help with the nightmare situation.,J Fosko,When I got the phone we did not want the phone number.the original account was canceled at an ATT store.,3,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Loving it!,Nanner74,I am new to iPhones but I am loving the easy using of one. I love the storage of this phone then one on a Samsung where I used a memory card for my pictures. I hope I have enough room on this one for a lot of pictures.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Nice phone,Brandi R,My daughter really likes her new phone.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Apple Iphone 14 purchase,Larry Justin,The Apple Iphone 14 is well worth the price. Easy transfer for old Iphone to new 14,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Happy,Momo3boys,It’s pretty good no different then the 13,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Best mobile phone!,Jo M,"Love this phone! I bought it in a light blue color to be different and it is a really nice color. I am still learning things this phone does every day but the one thing I love in messages is the ""Check In"" feature! I set it before I leave for a trip and it notifies a contact when I arrive at my destination. It works in my car with Apple Play for hands free calling while driving. Everyone I talk to who has an iPhone tells me their favorite feature and so it's a shared learning experience and others are so excited to share!",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,iPhone 14,Tmann0692,Love it!!! Great product!,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,iPhone 14,Chermart,"I like my new iPhone 14 , it’s easy to use and has a lot of my IPhone features. I learned how to use some of the new features , but I will!",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,iPhone 14,RobertA2,Nice phone. Sized well - slightly smaller than my old iPhone 11. 5G capable - much better than old 4G. Good camera and other nice features as advertised by Apple. Very please with the purchase.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,good deal,eugeniab,good deal special by att on this iphone 14-was glad to ungrade office phone from 7 to 14,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Apple iphone 14,Connie526,"I haven't had the Apple iPhone 14 for long, but so far I like all the features and the battery seems to be lasting a while. Also, placing the order on ATT was so easy!",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,It’s a good device. Works as expected,BC0207,"It’s pretty much the same as previous iPhones, with a few more not really exciting features. It’s better because it’s newer. The battery lasts longer, it has more memory, etc",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Good upgrade,Jacque B,"Good upgrade from Iphone 8s. Much faster, I was surprised how much better it is.The special pricing was a key factor.",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Like the color,,So far so good little hard to get to using face id,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,new phone,sheschun,"very nice phone, it’s white, nice and clean.",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Good phone,Jeremiahp94,"Nice phone good quality, nice screen",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Great,Jennbu,Love the phone so far! Hope it stays that way,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,A great phone,Tony Schinella,"It's a great phone. Easy process, too.",4,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Amazing service great price,Rebecca R,Perfect Size and functional. Not bulky like the 11 that I had! Got me the best deal and plan prices are good.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Happy with purchase,SMcWhite,Fast and simple with an easy transition from one phone to the other,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Assurion issue,Jenni P,"The phone is great- however, I do have concerns with the insurance ATT offers. I know it is contracted out but the price is obnoxious and I paid ridiculous amount of money to get a refurbished phone that came with a subpar battery. This is just feedback- I do not aim to gain anything from this.",4,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,New phone,Anney1,"Works fine ,same size , decent price",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,The yellow color just adds to the fun!,Willie D,We were due for an upgrade. This phone will suit our needs just perfect.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Need more space,Jaclyn333,Great looking. Miss the 3rd camera look and definitely think all new phones should be more GB.,3,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,iphone 14,iphone 14 user,very easy to use - great sales price,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Light and Loud,Coco J,Love how light it feels and the speaker is amazing!,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Keeps freezing,,Keeps freezing & the phone's graphics are off,1,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Avoid this model,Ashlykis,"Order on installment plan, used iphones for ~20years now. Only 12 hours later glitched out and touch screen would not work. Get a different model. Returned after less than a day or receiving",1,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Thank you,Boyd w,Really happy with the phone,4,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Gets hot,Goop,Seems to get hot quick : (,3,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Nice,Good deal,So far the phone has been amazing love the sound of it.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,iPhone 14,Vacation Hawaii,The iPhone 14 is an excellent choice. The battery is amazing but highly recommend it.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Great phone & good price,er78er,"Quick checkout, great phone & good price",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,My iPhone better than yours,,"I started out with the iPhone 8 Plus, then later on switched to iPhone 12, once I got and iPhone I saw the reason for the hype! I just recently changed to the iPhone 14 and still a happy customer",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,iPhone 14,AAA6,I ordered this phone for my daughter. It arrived in a few days and was easy to set up. It looks great and has been amazing. This deal is one of the best!,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Fast shipping,Att costumer since 2004,"It arrived on time, in perfect condition, activation was easy, very satisfied.",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Great phone.,MegK,Phone works great and love the additional storage. Live the sleek design and color options.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Hope they don’t make these phones any bigger,LorieA,Glad to get a new phone the size was not too big I like small phones,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Money will spent,Blademan,Great phone just got a learning curve,4,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Upgraded to iPhone 14 easily,sumo82,"Nice to upgrade to a phone with more storage than I had. Phone was shipped to me, and I easily transferred my previous phone's information to this new one. Most of my alerts did not transfer, however, so I'm glad I skipped the step to wipe my previous phone. I kept it and noticed the alerts and could easily update new phone . The only con is that it was not easy to get used to a phone without a home button. I have several app games that keep scrolling when I try to swipe it closed, so my only work around is to lock the phone, and hope that there is an alert on the screen so I can click on that to open the phone. Otherwise I like the larger size.",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,new phone,sheschun,"very nice phone, it’s white, nice and clean.",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Good phone,Jeremiahp94,"Nice phone good quality, nice screen",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Great,Jennbu,Love the phone so far! Hope it stays that way,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,A great phone,Tony Schinella,"It's a great phone. Easy process, too.",4,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Amazing service great price,Rebecca R,Perfect Size and functional. Not bulky like the 11 that I had! Got me the best deal and plan prices are good.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Happy with purchase,SMcWhite,Fast and simple with an easy transition from one phone to the other,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Assurion issue,Jenni P,"The phone is great- however, I do have concerns with the insurance ATT offers. I know it is contracted out but the price is obnoxious and I paid ridiculous amount of money to get a refurbished phone that came with a subpar battery. This is just feedback- I do not aim to gain anything from this.",4,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,New phone,Anney1,"Works fine ,same size , decent price",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Great upgrade,FranandDennis,Great upgrade without trade-in!,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Not a fan,VEEQ,There have been times it would get stuck and not move to something else. A few times it would not even let me call out. Not a fan,2,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Outstanding,JohnGuillermo,One bump but it was handled quickly and to satisfaction.,4,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Good phone,Jo schlac,Have had my phone for about a month. I am very pleased with it. It’s easy to use.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Update my phone,Andre H,Liking the speed and overall operation of the phone,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,14 is good so far but liked the bigger size,Pat Park,Not use to the smaller phone yet but I’m sure it’ll be ok,3,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,No,Matthew Ha,Don’t waste your time with at and t,2,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Option,,I was looking for 256 GB but there was no option for that both online and offline.,1,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,(no review title),MrsSeagull,I like the phone. Much like other Iphones,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Nice phone,Jackie0101,"Phone is nice, as expected",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Happy Customer,K Lynette,Happy with the phone and it features.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,"Sleek, fast and awesome photo quality.",,"Sleek, fast and awesome photo quality!",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,I hate apple products,Glenn 1980,My daughter loves her new phone. I hate apple products. They r over rated. Everything they come out w android came out w prior. They r a monopoly. You can only use their services w their products. They r a status product & thats it.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Great phone,Coco Danielle,Phone came on time and set up Rep was awesome!,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,New phone,AllenW119,My daughter got the new phone. It works beater than her old one and she is beyond happy with the way it works.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,"Nice phone, good deal",Victor JC,"There was a bit of a learning curve transitioning from my old iPhone 8, but overall quite pleased. The battery lasts a decent amount of time, reception seems good. A lot of features, some I didn't know about like its ability to use satellite for emergency messages.",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Fast shipping,Att costumer since 2004,"It arrived on time, in perfect condition, activation was easy, very satisfied.",5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Great phone.,MegK,Phone works great and love the additional storage. Live the sleek design and color options.,5,0,
https://www.target.com/p/apple-iphone-14/-/A-87577447,Hope they don’t make these phones any bigger,LorieA,Glad to get a new phone the size was not too big I like small phones,5,0,
